id,source_category,text
0,/boards/forums/stigma.54/,"Our new stigma research looks at diabetes stigma at scale across the UK. With blame, shame and stigma staggeringly high across type 1 diabetes and type 2 diabetes – what can be done to tackle it? There’s an article following publication of a new survey here: 86% of people with type 1 and 75% of people with type 2 experience judgement for their condition Nobody should experience judgment or blame because of a health condition. But our new survey, conducted by YouGov and kindly funded by Abbott shows almost 9 in 10 people with type 1 diabetes and 7 in 10 people with type 2 diabetes experience blame and judgement for their condition. www.diabetes.org.uk And the 2025 Diabetes UK Position Statement on Stigma is here"
1,/boards/forums/stigma.54/,"Well done @everydayups and downs, for bringing this to everyone's attention. For what it is worth  here is my experience and opinion. There is a T2DM crisis and the NHS is struggling to cope with it. It seems to me that the Department of Health and the NHS bureaucracy are using ""nudge techniques"" to get every one to change their behaviour. What better way of doing this than blaming being overweight or obese for your contracting T2DM. The deadly diabetes grim reaper will come for you if you don't lose weight. I believe that the stigma which diabetics feel is applied to them is connected to the distress that many new members to this forum write about. Anyone who is overweight is a likely candidate for diabetes so avoid eating sweets, biscuits, potato chips and croissants and everything will be OK. Well it won't be ok, contracting diabetes is a complex issue concerning age, genetics, exercise and other criteria not just being overweight. So how do you ""nudge"" people into rejuvenating themselves or changing their genetic make up, to reduce the incidence of T2DM? You can't, so blame being overweight. It is time that the Department of Health and the media wake up to the fact that stigmatising people does not help. The public need genuine facts to make their health judgements not public relations blandishments. It is true that a fair proportion of diabetics were overweight, whatever that means, when they were diagnosed, but a small proportion of diabetics were underweight. Does it mean, however, that people who are underweight are condemned to contract diabetes? Is there stigma against light people too? It is clear that ""nudging"" people to lose weight is not working as T2DM has almost become an epidemic. Perhaps a new approach is needed. The ""nudge"" campaign to get people to stop smoking worked and it helped to reduce lung cancer and other respiratory problems, but it was clear to most people that smoking was directly related to lung cancer and the evidence was overwhelming. There is no clear cut single cause of diabetes, so why blame being overweight alone? The NHS is full of hardworking and qualified staff,  and my life was saved by some of them when I contracted a lung abscess which was fully resolved by antibiotics. The treatment for diabetes is entirely different, as there is no magic wand that can be waved either to prevent diabetes or to cure it. It is down to wise decision making about diet, exercise and medication. Unfortunately, the NHS doctors are run off their feet and many of them have been poorly trained to meet the needs of their patients. It is not just a case of everyone losing weight and everything will be ok. Take my own case, when I contracted T2DM I was not overweight and I exercised every day. I did more than my fair share of walking and running. I still got diabetes, probably and primarily because of my age,73, and genetics. Diabetes runs in my family so many of us have the genes that predispose us to diabetes, when we get to a certain age, and some of us do not have the genes that protect us. Should we be blamed for being old or having ""weak"" genes? Many, many people who are overweight do not contract diabetes  because they have a physique which does not lend itself to poor regulation of blood sugar. To get to remission I have had to take drastic measures to control my diet and exercise routines, and I have had to lose weight and reduce my waist measurement. Perhaps, continuously, and all of my life, being 62kg with a waist measurement of 80 cm and with a BMI of 19.6  would have prevented me from becoming a diabetic, but the result would have been the same: I would have been on a continuous low carb diet and exercising by walking 10 km per day, just as I  am now. It is a bitter irony. Lots of the health professional I have met have considered me to be too thin and they think I should put a bit of weight on; just in case I contract an abscess again or cancer and I need an operation. I am afraid that they cannot have their"" low-weight patient"" cake and eat it. I debated with the doctors whether it was the abscess that brought on my  full diabetes or whether the the diabetes caused the abscess. Some of them believed the diabetes damaged my immune system; it was blame diabetes again. Luckily, my GP is not part of the blame culture. Of course, being overweight is problematic for younger people and it contributes to their demise. However, where is the stigma against the ultra high processed foods and the advertising which encourages over indulgence? Where is the stigma against the Forever Chemicals which are polluting the whole of our environment and which are increasingly being seen as being another causative factor of T2DM? Society must stop the blame culture and stop insulting people who are overweight by calling them obese, and stop blaming diabetics for being overweight. None of this stigma is helping anybody and it leads to stress which exacerbates the condition even more. It is very difficult living with the physical effects of diabetes and regulating the condition, but sometimes it is more difficult dealing with the mental effects. No more stigma please, hard working NHS staff are run off their feet and do not have time to treat you as an individual rather than a stigmatised member of an overweight herd."
2,/boards/forums/stigma.54/,"Thank you @everydayupsanddowns for sharing this and Diabetes UK for producing it. I am a little concerned that the example given of stigma for someone with Type 1 is about treating a hypo with chocolate which is something we are told NOT to do as it does not work fast enough. I know the article/statement is not an educational aid but as it comes from the prominent diabetes charity in the UK, others may take it as such. On the plus side, I applaud the idea of educating people through story telling. It is great when the likes of James Norton, Chris Pennel and others tell their stories. I think we need more people in the public eye to share their stories. And that should include stories about people with type 2 as well as Type 1."
3,/boards/forums/stigma.54/,"I wholeheartedly agree with you. It is also down to all of us to spread the word. I tell people about my experiences with T2DM if the they want to listen and now I am no longer worrying about the stigma related to the condition which I have experienced too. It is important not to be frightened of stigma and speak our minds: 2 of my friends, who are not overweight, but over 50 got themselves tested after listening to my T2DM diagnosis and treatment and both of them discovered they were pre-diabetic, 1 of them is taking action to improve his diet and exercise. The other is not but that is his choice and who am I to criticise or stigmatise him for it, but no doubt the facts will eventually pay dividends for him."
4,/boards/forums/stigma.54/,"everydayupsanddowns said: Our new stigma research looks at diabetes stigma at scale across the UK. With blame, shame and stigma staggeringly high across type 1 diabetes and type 2 diabetes – what can be done to tackle it? There’s an article following publication of a new survey here: 86% of people with type 1 and 75% of people with type 2 experience judgement for their condition Nobody should experience judgment or blame because of a health condition. But our new survey, conducted by YouGov and kindly funded by Abbott shows almost 9 in 10 people with type 1 diabetes and 7 in 10 people with type 2 diabetes experience blame and judgement for their condition. www.diabetes.org.uk And the 2025 Diabetes UK Position Statement on Stigma is here Click to expand... Hello how are you its Matthew if you remember i had help from you and the nice Woman that is on here as well,  i seen a Physiatrist  few weeks back he know's I have Type 1 Diabetes but told him again,  I have was diagnosed with Type 1 Diabetes back in July 2003 I am 45 now but in his report back he only put down I have Diabetes, I do not want to compare any Diabetes but if you are diagnosed with a certain type should the healthcare person not say precisely that I have Type 1 Diabetes like I told him, because all types of Diabetes are different that's why we get different diagnoses."
5,/boards/forums/stigma.54/,"Matty80 said: I do not want to compare any Diabetes but if you are diagnosed with a certain type should the healthcare person not say precisely that I have Type 1 Diabetes like I told him, because all types of Diabetes are different that's why we get different diagnoses. Click to expand... It can be frustrating can’t it. Several members here (including me) have had the experience of being asked if we still take insulin. Which is hard not to respond to sarcastically. But I suppose could be a way of getting clarification that the previous diagnosis is still in effect, and a person hasn’t been reclassified with a completely different treatment regimen?"
6,/boards/forums/stigma.54/,"I certainly find it frustrating when HCP make assumptions. At my recent retinal scan, they assumed I had type 2 based on the majority of people having retinal scans is for this reason. My frustration was based on not checking my notes (or asking me)."
7,/boards/forums/stigma.54/,"I would not expect the Eye Screener to be aware of my history, but I have never had any in a hospital setting. Always in many differn t settings."
8,/boards/forums/stigma.54/,"grovesy said: I would not expect the Eye Screener to be aware of my history, but I have never had any in a hospital setting. Always in many differn t settings. Click to expand... She didn’t have to be aware She could ask me or read the screen in front of her."
9,/boards/forums/stigma.54/,"helli said: She didn’t have to be aware She could ask me or read the screen in front of her. Click to expand... Ive been asked at eye screenings whether I'm Type 2, while the screener has been staring at my notes in disbelief. It’s as if they can’t believe anyone so old has Type 1, I wonder what they think happens to us!"
