id,text,management_overwhelm,guilt_shame,fear_complications,social_isolation,hopelessness,none
0,I feel like I have a second full-time job just managing my blood sugar.,1,0,0,0,0,0
1,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
2,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
3,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
4,"I'm so tired of counting every single carb, every single day.",1,0,0,0,0,0
5,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
6,"Juggling work, kids, and diabetes management is just too much some weeks.",1,0,0,0,0,0
7,"Ha, my pancreas really said 'not today' but whatever, adjusted my dose and moved on.",0,0,0,0,0,1
8,"Refilled my prescription at the pharmacy, all set for the month.",0,0,0,0,0,1
9,I feel like I have a second full-time job just managing my blood sugar. Every high number feels like proof that I'm bad at this.,1,1,0,0,0,0
10,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
11,"Every eye appointment I go into expecting bad news. My family thinks I'm just being dramatic when I need to stop and treat a low. I'm so tired of counting every single carb, every single day.",1,0,1,1,0,0
12,"I don't bring it up anymore because people just don't get it. I'm so tired of counting every single carb, every single day.",1,0,0,1,0,0
13,The neuropathy tingling in my feet freaks me out more than I let on. It feels like no matter what I do this disease is going to win eventually.,0,0,1,0,1,0
14,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
15,"I'm so tired of counting every single carb, every single day. Every high number feels like proof that I'm bad at this.",1,1,0,0,0,0
16,The neuropathy tingling in my feet freaks me out more than I let on.,0,0,1,0,0,0
17,I ate the cake at the party and now I feel guilty about it all night.,0,1,0,0,0,0
18,"My A1C went up and I feel so ashamed to tell my doctor. Juggling work, kids, and diabetes management is just too much some weeks.",1,1,0,0,0,0
19,I'm scared of what fifty years of this disease will do to my heart.,0,0,1,0,0,0
20,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
21,"I'm so tired of counting every single carb, every single day. I ate the cake at the party and now I feel guilty about it all night.",1,1,0,0,0,0
22,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
23,"I've stopped logging my food, nothing I do seems to change anything. Every eye appointment I go into expecting bad news.",0,0,1,0,1,0
24,My A1C went up and I feel so ashamed to tell my doctor. My family thinks I'm just being dramatic when I need to stop and treat a low.,0,1,0,1,0,0
25,It feels like no matter what I do this disease is going to win eventually. Every eye appointment I go into expecting bad news.,0,0,1,0,1,0
26,"I hid my pump from my coworkers today, I don't know why I feel embarrassed.",0,1,0,0,0,0
27,"I'm so tired of counting every single carb, every single day.",1,0,0,0,0,0
28,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
29,I don't bring it up anymore because people just don't get it. I forgot to bolus again and now I'm scrambling to fix it before work.,1,0,0,1,0,0
30,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
31,I feel like I have a second full-time job just managing my blood sugar.,1,0,0,0,0,0
32,I lie awake some nights terrified about what my kidneys will look like in ten years. Some days I just want to throw the whole pump away and not deal with any of it.,0,0,1,0,1,0
33,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
34,I ate the cake at the party and now I feel guilty about it all night. I lie awake some nights terrified about what my kidneys will look like in ten years. It feels like no matter what I do this disease is going to win eventually.,0,1,1,0,1,0
35,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
36,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
37,"None of my friends really get what a low feels like, so I stopped explaining it.",0,0,0,1,0,0
38,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
39,My A1C went up and I feel so ashamed to tell my doctor. I lie awake some nights terrified about what my kidneys will look like in ten years.,0,1,1,0,0,0
40,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
41,"Every high number feels like proof that I'm bad at this. I've stopped logging my food, nothing I do seems to change anything.",0,1,0,0,1,0
42,"Ha, my pancreas really said 'not today' but whatever, adjusted my dose and moved on.",0,0,0,0,0,1
43,Some days I just want to throw the whole pump away and not deal with any of it. I saw my grandmother lose her eyesight to this and I can't stop thinking it'll happen to me. Every high number feels like proof that I'm bad at this.,0,1,1,0,1,0
44,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
45,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
46,"I hid my pump from my coworkers today, I don't know why I feel embarrassed.",0,1,0,0,0,0
47,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
48,"I'm so tired of counting every single carb, every single day. I saw a 280 on my CGM and just felt like a complete failure.",1,1,0,0,0,0
49,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
50,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
51,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
52,"I've stopped logging my food, nothing I do seems to change anything. I don't bring it up anymore because people just don't get it.",0,0,0,1,1,0
53,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
54,Every eye appointment I go into expecting bad news.,0,0,1,0,0,0
55,I feel like I have a second full-time job just managing my blood sugar.,1,0,0,0,0,0
56,"I'm so tired of counting every single carb, every single day.",1,0,0,0,0,0
57,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
58,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
59,Every high number feels like proof that I'm bad at this.,0,1,0,0,0,0
60,"Told a joke about my sensor falling off in the shower again lol, third time this month.",0,0,0,0,0,1
61,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
62,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
63,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
64,"I feel so alone managing this, like nobody else understands the mental load. Every high number feels like proof that I'm bad at this. I don't know why I bother with tight control anymore, it never seems to matter.",0,1,0,1,1,0
65,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
66,Sometimes it feels like I'm the only one dealing with this in my whole social circle. Every high number feels like proof that I'm bad at this. Every eye appointment I go into expecting bad news.,0,1,1,1,0,0
67,"Changed my infusion site today, no issues so far.",0,0,0,0,0,1
68,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
69,"I don't know why I bother with tight control anymore, it never seems to matter. Juggling work, kids, and diabetes management is just too much some weeks.",1,0,0,0,1,0
70,"Tried a new low-carb recipe tonight, turned out pretty good.",0,0,0,0,0,1
71,"I feel like I have a second full-time job just managing my blood sugar. I've stopped logging my food, nothing I do seems to change anything.",1,0,0,0,1,0
72,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
73,"Juggling work, kids, and diabetes management is just too much some weeks.",1,0,0,0,0,0
74,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
75,I ate the cake at the party and now I feel guilty about it all night. Every eye appointment I go into expecting bad news. Between the pump alarms and the finger pricks I can't keep up anymore.,1,1,1,0,0,0
76,"I'm so tired of counting every single carb, every single day.",1,0,0,0,0,0
77,Honestly what's the point of trying so hard when my numbers are all over the place anyway.,0,0,0,0,1,0
78,Went for a run before breakfast and my numbers stayed nice and flat.,0,0,0,0,0,1
79,I ate the cake at the party and now I feel guilty about it all night.,0,1,0,0,0,0
80,I ate the cake at the party and now I feel guilty about it all night. The neuropathy tingling in my feet freaks me out more than I let on.,0,1,1,0,0,0
81,Some days the sheer amount of decisions this disease demands wears me down completely. I'm scared of what fifty years of this disease will do to my heart.,1,0,1,0,0,0
82,I saw a 280 on my CGM and just felt like a complete failure. Between the pump alarms and the finger pricks I can't keep up anymore. I'm scared of what fifty years of this disease will do to my heart.,1,1,1,0,0,0
83,The neuropathy tingling in my feet freaks me out more than I let on.,0,0,1,0,0,0
84,I'm scared of what fifty years of this disease will do to my heart.,0,0,1,0,0,0
85,"I'm so tired of counting every single carb, every single day.",1,0,0,0,0,0
86,I lie awake some nights terrified about what my kidneys will look like in ten years.,0,0,1,0,0,0
87,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
88,The neuropathy tingling in my feet freaks me out more than I let on.,0,0,1,0,0,0
89,"None of my friends really get what a low feels like, so I stopped explaining it. It feels like no matter what I do this disease is going to win eventually.",0,0,0,1,1,0
90,"My CGM sensor came in the mail, switching it out tomorrow morning.",0,0,0,0,0,1
91,I'm scared of what fifty years of this disease will do to my heart.,0,0,1,0,0,0
92,"I feel so alone managing this, like nobody else understands the mental load.",0,0,0,1,0,0
93,"Basal rates seem dialed in well this week, nothing to report.",0,0,0,0,0,1
94,The neuropathy tingling in my feet freaks me out more than I let on. Between the pump alarms and the finger pricks I can't keep up anymore.,1,0,1,0,0,0
95,"I don't know why I bother with tight control anymore, it never seems to matter.",0,0,0,0,1,0
96,"I'm so tired of counting every single carb, every single day. I don't know why I bother with tight control anymore, it never seems to matter. My A1C went up and I feel so ashamed to tell my doctor.",1,1,0,0,1,0
